Publisher	Dataset Name	Link	Facet 1	Facet 2
Ministry of Justice	Royal Courts of Justice and Rolls building daily court lists	http://data.gov.uk/dataset/royal-courts-of-justice-and-rolls-building-daily-court-lists	Crime and Justice	Performance and Delivery
Ministry of Justice	Adult sentencing outcomes	http://data.gov.uk/data/search?q=adult+sentencing+outcomes	Crime and Justice	Performance and Delivery
Home Office	Cost of organised crime	http://data.gov.uk/dataset/costs-of-organised-crime	Crime and Justice	Performance and Delivery
Department for Communities and Local Government	Fire Statistics Monitors	http://data.gov.uk/dataset/fire-statistics-monitors	Crime and Justice	Performance and Delivery
Department for Communities and Local Government	Fire Incidence Response Times 	http://data.gov.uk/dataset/fire_incidents_response_times	Crime and Justice	Performance and Delivery
Department for Business, Innovation and Skills	Small and medium sized enterprise statistics (SME) for the UK and regions	http://data.gov.uk/dataset/small_and_medium_sized_enterprise_statistics_sme_for_the_uk_and_regions	Companies and Business Development	Performance and Delivery
Department for Business, Innovation and Skills	Insolvency Statistics	http://data.gov.uk/dataset/insolvency_statistics	Companies and Business Development	Performance and Delivery
UK Commission for Employment and Skills	The UK Commissionís Employer Skills Survey	http://data.gov.uk/dataset/the-uk-commissions-employer-skills-survey	Companies and Business Development	Performance and Delivery
Office for National Statistics	UK Business: Activity, Size and Location	http://data.gov.uk/dataset/uk_business-activity_size_and_location	Companies and Business Development	Performance and Delivery
Office for National Statistics	Consumer Price indices	http://data.gov.uk/dataset/consumer_price_indices	Companies and Business Development	Performance and Delivery
Department for Transport	National Public Transport Data Repository (NPTDR)	http://data.gov.uk/dataset/nptdr	Transport and Infrastructure	Performance and Delivery
Department for Transport	Traveline National Dataset 	http://data.gov.uk/dataset/traveline-national-dataset	Transport and Infrastructure	Performance and Delivery
Department for Transport	National Coach Services	http://data.gov.uk/dataset/national-coach-services	Transport and Infrastructure	Performance and Delivery
Civil Aviation Authority	Civil Aviation Authority data 	http://data.gov.uk/dataset/passenger-experience-and-service-at-airports	Transport and Infrastructure	Performance and Delivery
Department for Transport	Rail Timetables (National Rail) 	https://datafeeds.networkrail.co.uk/ntrod/login	Transport and Infrastructure	Performance and Delivery
Department for Transport	Real Time Rail Performance (Network Rail)	https://datafeeds.networkrail.co.uk/ntrod/login	Transport and Infrastructure	Performance and Delivery
Department for Transport	Traveline National Dataset (includes real time bus performance)	http://www.data.gov.uk/dataset/traveline-national-dataset 	Transport and Infrastructure	Performance and Delivery
